agree,agree_ratio,agreeance_text,allsides_page,bias,disagree,name,total_votes
230,0.842490842,Somewhat Disagrees,https://www.allsides.com/news-source/spokesman-review,left-center,273,Spokesman Review,503
191,0.715355805,Somewhat Disagrees,https://www.allsides.com/news-source/state-journal,left-center,267,State Journal,458
84,1.166666667,Somewhat Agrees,https://www.allsides.com/news-source/storycorps-media-bias,allsides,72,StoryCorps,156
98,1.661016949,Agrees,https://www.allsides.com/news-source/subverse-media-bias,center,59,Subverse,157
161,0.847368421,Somewhat Disagrees,https://www.allsides.com/news-source/suspend-belief-podcast,allsides,190,Suspend Belief Podcast,351
259,0.955719557,Somewhat Disagrees,https://www.allsides.com/news-source/tallahassee-democrat,center,271,Tallahassee Democrat,530
434,1.481228669,Somewhat Agrees,https://www.allsides.com/news-source/techcrunch-media-bias,center,293,TechCrunch,727
354,0.673003802,Somewhat Disagrees,https://www.allsides.com/news-source/teen-vogue,left-center,526,Teen Vogue,880
1,0.333333333,Strongly Disagrees,https://www.allsides.com/news-source/advocate-media-bias,left-center,3,The Advocate,4
189,0.797468354,Somewhat Disagrees,https://www.allsides.com/news-source/advocate-messenger,left-center,237,The Advocate-Messenger,426
244,0.927756654,Somewhat Disagrees,https://www.allsides.com/news-source/american-conservative-media-bias,right-center,263,The American Conservative,507
5,0.833333333,Somewhat Disagrees,https://www.allsides.com/news-source/american-mind-media-bias,right-center,6,The American Mind,11
9600,2.719546742,Strongly Agrees,https://www.allsides.com/news-source/american-spectator,right,3530,The American Spectator,13130
55,1.222222222,Somewhat Agrees,https://www.allsides.com/news-source/appeal-media-bias,center,45,The Appeal,100
8369,1.947637887,Agrees,https://www.allsides.com/news-source/atlantic,left-center,4297,The Atlantic,12666
1576,1.328836425,Somewhat Agrees,https://www.allsides.com/news-source/boston-globe,left-center,1186,The Boston Globe,2762
183,0.948186528,Somewhat Disagrees,https://www.allsides.com/news-source/cadiz-record,left-center,193,The Cadiz Record,376
178,1.210884354,Somewhat Agrees,https://www.allsides.com/news-source/canyon-county-zephry,left,147,The Canyon County Zephyr,325
38,0.612903226,Disagrees,https://www.allsides.com/news-source/center-square-michigan-media-bias,center,62,The Center Square - Michigan,100
208,1.291925466,Somewhat Agrees,https://www.allsides.com/news-source/college-fix,right,161,The College Fix,369
170,0.735930736,Somewhat Disagrees,https://www.allsides.com/news-source/commercial-appeal,left-center,231,The Commercial Appeal,401
165,0.629770992,Disagrees,https://www.allsides.com/news-source/courier-journal,left-center,262,The Courier-Journal,427
6714,2.19268452,Strongly Agrees,https://www.allsides.com/news-source/daily-caller,right,3062,The Daily Caller,9776
72,1.058823529,Somewhat Agrees,https://www.allsides.com/news-source/daily-dot-media-bias,left-center,68,The Daily Dot,140
1011,0.787996882,Somewhat Disagrees,https://www.allsides.com/news-source/daily-show,left-center,1283,The Daily Show,2294
392,2.45,Strongly Agrees,https://www.allsides.com/news-source/daily-signal,right,160,The Daily Signal,552
5370,2.462173315,Strongly Agrees,https://www.allsides.com/news-source/daily-wire,right,2181,The Daily Wire,7551
174,1.348837209,Somewhat Agrees,https://www.allsides.com/news-source/dallas-morning-news,center,129,The Dallas Morning News - dallasnews,303
201,0.858974359,Somewhat Disagrees,https://www.allsides.com/news-source/delaware-county-daily-times,left-center,234,The Delaware County Daily Times,435
33,1.941176471,Agrees,https://www.allsides.com/news-source/dispatch-media-bias,right-center,17,The Dispatch,50
2968,0.535256988,Disagrees,https://www.allsides.com/news-source/economist,left-center,5545,The Economist,8513
5928,3.534883721,Absolutely Agrees,https://www.allsides.com/news-source/epoch-times-media-bias,right,1677,The Epoch Times,7605
4734,2.673066064,Strongly Agrees,https://www.allsides.com/news-source/federalist,right,1771,The Federalist,6505
343,1.299242424,Somewhat Agrees,https://www.allsides.com/news-source/flip-side-media-bias,allsides,264,The Flip Side,607
103,1.06185567,Somewhat Agrees,https://www.allsides.com/news-source/fulcrum-media-bias,center,97,The Fulcrum,200
634,1.50952381,Agrees,https://www.allsides.com/news-source/gateway-pundit,right,420,The Gateway Pundit,1054
70,1.044776119,Somewhat Agrees,https://www.allsides.com/news-source/globe-and-mail-media-bias,center,67,The Globe and Mail,137
8768,1.633687349,Agrees,https://www.allsides.com/news-source/guardian,left-center,5367,The Guardian,14135
10563,0.794509214,Somewhat Disagrees,https://www.allsides.com/news-source/hill-media-bias,center,13295,The Hill,23858
47,1.068181818,Somewhat Agrees,https://www.allsides.com/news-source/imaginative-conservative-media-bias,right,44,The Imaginative Conservative,91
268,1.212669683,Somewhat Agrees,https://www.allsides.com/news-source/independent-0,left-center,221,The Independent,489
2711,2.755081301,Strongly Agrees,https://www.allsides.com/news-source/intercept,left,984,The Intercept,3695
195,1.010362694,Somewhat Agrees,https://www.allsides.com/news-source/jerusalem-post-media-bias,center,193,The Jerusalem Post,388
2,2,Agrees,https://www.allsides.com/news-source/juggernaut-media-bias,left,1,The Juggernaut,2
138,0.896103896,Somewhat Disagrees,https://www.allsides.com/news-source/justice,left-center,154,The Justice,292
xx,1.5,Agrees,https://www.allsides.com/news-source/washington-post-media-bias,left-center,xx,The Washington Post - washingtonpost,57324
